team,deficits,wins,draws,losses,points,points_per_deficit,season,games
VfB Stuttgart,9,0,3,6,3,0.33,2020,Home Games
1.FC Köln,12,0,3,9,3,0.25,2020,Home Games
FC Augsburg,9,0,2,7,2,0.22,2020,Home Games
Arminia Bielefeld,10,0,1,9,1,0.1,2020,Home Games
Bayern Munich,8,3,1,4,10,1.25,2020,Away Games
Borussia Dortmund,10,2,2,6,8,0.8,2020,Away Games
VfB Stuttgart,11,2,2,7,8,0.73,2020,Away Games
Borussia Mönchengladbach,11,1,4,6,7,0.64,2020,Away Games
TSG 1899 Hoffenheim,12,1,4,7,7,0.58,2020,Away Games
VfL Wolfsburg,9,0,5,4,5,0.56,2020,Away Games
Hertha BSC,11,1,2,8,5,0.45,2020,Away Games
Eintracht Frankfurt,10,0,4,6,4,0.4,2020,Away Games
Bayer 04 Leverkusen,8,1,1,6,4,0.5,2020,Away Games
1.FSV Mainz 05,8,1,1,6,4,0.5,2020,Away Games
RB Leipzig,8,0,3,5,3,0.38,2020,Away Games
1.FC Union Berlin,10,0,3,7,3,0.3,2020,Away Games
FC Schalke 04,15,0,2,13,2,0.13,2020,Away Games
FC Augsburg,12,0,1,11,1,0.08,2020,Away Games
Arminia Bielefeld,9,0,1,8,1,0.11,2020,Away Games
1.FC Köln,9,0,1,8,1,0.11,2020,Away Games
SV Werder Bremen,9,0,1,8,1,0.11,2020,Away Games
SC Freiburg,9,0,0,9,0,NA,2020,Away Games
TSG 1899 Hoffenheim,24,6,4,14,22,0.92,2021,All Games
1.FC Köln,19,4,5,10,17,0.89,2021,All Games
Eintracht Frankfurt,21,4,5,12,17,0.81,2021,All Games
Borussia Dortmund,14,4,1,9,13,0.93,2021,All Games
1.FC Union Berlin,16,3,4,9,13,0.81,2021,All Games
Bayern Munich,11,3,3,5,12,1.09,2021,All Games
VfL Bochum,22,3,3,16,12,0.55,2021,All Games
VfB Stuttgart,22,2,5,15,11,0.5,2021,All Games
Bayer 04 Leverkusen,14,2,4,8,10,0.71,2021,All Games
Borussia Mönchengladbach,19,2,4,13,10,0.53,2021,All Games
RB Leipzig,15,2,3,10,9,0.6,2021,All Games
SC Freiburg,14,1,4,9,7,0.5,2021,All Games
FC Augsburg,21,1,4,16,7,0.33,2021,All Games
Hertha BSC,22,2,1,19,7,0.32,2021,All Games
Arminia Bielefeld,23,0,7,16,7,0.3,2021,All Games
1.FSV Mainz 05,18,1,3,14,6,0.33,2021,All Games
VfL Wolfsburg,20,1,3,16,6,0.3,2021,All Games
SpVgg Greuther Fürth,25,0,3,22,3,0.12,2021,All Games
TSG 1899 Hoffenheim,11,4,2,5,14,1.27,2021,Home Games
1.FC Köln,10,3,3,4,12,1.2,2021,Home Games
Eintracht Frankfurt,12,2,4,6,10,0.83,2021,Home Games
VfB Stuttgart,11,2,2,7,8,0.73,2021,Home Games
Bayern Munich,5,2,1,2,7,1.4,2021,Home Games
VfL Bochum,8,2,1,5,7,0.88,2021,Home Games
